1, ACCT, 1002, Intro to Financial Accounting, 2025-12-04, 16:00, Mechanical Design Office (MD2), 2, 135
2, ACCT, 1002, Intro to Financial Accounting, 2025-12-04, 16:00, JFK Auditorium, 2, 280
3, ACCT, 1003, Intro to Cost and Mgmt Acctg, 2025-12-15, 13:00, The Temporary Room at Nat Sci, 2, 76
4, ACCT, 2014, Financial Accounting I, 2025-12-08, 16:00, Mechanical Design Office (MD2), 2, 140
5, ACCT, 2017, Management Accounting I, 2025-12-19, 09:00, Main Drawing Office (MD3), 2, 26
6, ACCT, 2021, Cost & Management Accounting, 2025-12-19, 13:00, JFK Auditorium, 2, 127
7, ACCT, 3041, Adv Financial Accounting, 2025-12-01, 16:00, JFK Auditorium, 2, 74
8, ACCT, 3043, Auditing I, 2025-12-03, 13:00, The Temporary Room at Chemistry, 2, 76
9, ACTS, 3001, Life Contingencies II, 2025-12-15, 16:00, JFK Auditorium, 2, 21
10, ACTS, 3003, Loss Models I, 2025-12-05, 13:00, The Temporary Room at Chemistry, 2, 15
11, ACTS, 3004, Asset & Liability Management I, 2025-12-18, 13:00, JFK Auditorium, 2, 22
12, ADRR, 1001, Intro to Nat Haz, Dis &Clim Ch, 2025-12-02, 13:00, Mechanical Design Office (MD2), 2, 8
13, ADRR, 1002, Environmental Sustainability, 2025-12-08, 13:00, Main Drawing Office (MD3), 2, 13
14, ADRR, 3001, Food & Nutri Sec Policy & Legi, 2025-12-19, 13:00, The Temporary Room at Chemistry, 2, 16
15, ADRR, 3002, Community Eng Prin & Pract, 2025-12-15, 13:00, The Temporary Room at Chemistry, 2, 14
16, AGBU, 1005, Introduction to Microeconomics, 2025-12-08, 16:00, The Temporary Room at Chemistry, 2, 46
17, AGBU, 2000, Agriculture in the Economy, 2025-12-01, 13:00, JFK Auditorium, 2, 12
18, AGBU, 2002, Mgmt & Econ-Agri Prod & Mktg, 2025-12-08, 13:00, JFK Auditorium, 2, 8
19, AGBU, 3001, Marketing and Price Analysis, 2025-12-19, 16:00, Main Drawing Office (MD3), 2, 6
20, AGBU, 3006, Agri Project Appraisal & Imp, 2025-12-15, 16:00, JFK Auditorium, 2, 9
21, AGCP, 2000, Biosystems Engr Principles, 2025-12-08, 16:00, JFK Auditorium, 2, 27
22, AGCP, 2101, Principles of Sustainable Crop, 2025-12-04, 13:00, Main Drawing Office (MD3), 2, 25
23, AGCP, 3011, Major C'bean Export Crops, 2025-12-08, 13:00, Main Drawing Office (MD3), 2, 5
24, AGCP, 3014, Principles of Commodity Util, 2025-12-01, 13:00, Main Drawing Office (MD3), 2, 16
25, AGEX, 1003, Development of C'bbean Agri, 2025-12-18, 13:00, Mechanical Design Office (MD2), 2, 23
26, AGLS, 1001, Anatomy & Phys of Animals, 2025-12-15, 09:00, JFK Auditorium, 2, 25
27, AGLS, 2101, Principles of Livestock Sci, 2025-12-10, 16:00, Main Drawing Office (MD3), 2, 24
28, AGLS, 3003, Ruminant Production Systems, 2025-12-18, 13:00, Mechanical Design Office (MD2), 2, 9
29, AGLS, 6001, Tropical Animal Science, 2025-12-11, 09:00, Main Drawing Office (MD3), 3, 12
30, AGRI, 0101, Agriculture,Food & the Env, 2025-12-11, 13:00, Main Drawing Office (MD3), 2, 10
31, AGRI, 0102, Agricultural Physics, 2025-12-16, 13:00, Main Drawing Office (MD3), 2, 10
32, AGRI, 0103, Agricultural Chemistry, 2025-12-01, 13:00, JFK Auditorium, 2, 36
33, AGRI, 0104, Agricultural Biology I, 2025-12-10, 13:00, Main Drawing Office (MD3), 2, 22
