Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/auth/identify,5,0,3900.0,6609.270579996519,2587.9406000021845,13398.485600017011,89.0,0.03554475359615225,0.0,3900,9500,9500,13000,13000,13000,13000,13000,13000,13000,13000
GET,GET /api/auth/preferences,4,0,3500.0,6294.602299996768,3326.7933999886736,12692.523100005928,56.0,0.0284358028769218,0.0,5700,5700,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,GET /api/clash-matrix,5,0,8500.0,18112.084400013555,4809.719300013967,60153.9569000015,133102.0,0.03554475359615225,0.0,8500,10000,10000,60000,60000,60000,60000,60000,60000,60000,60000
GET,GET /api/course/<code>/clash-matrix,3,0,8500.0,7272.244233327608,2998.7364999833517,10321.027799975127,683.3333333333334,0.02132685215769135,0.0,8500,8500,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /api/courses,10,0,4000.0,16507.817630004138,2728.151799994521,59421.331299992744,1762.6,0.0710895071923045,0.0,6600,8400,14000,59000,59000,59000,59000,59000,59000,59000,59000
GET,GET /api/courses/<code>,9,0,4300.0,10775.570933331943,2766.7356000165455,58882.59019999532,85.88888888888889,0.06398055647307405,0.0,4300,6500,6500,6900,59000,59000,59000,59000,59000,59000,59000
GET,GET /api/courses/subject/<code>,5,0,8300.0,17336.64999998873,3683.5324999992736,59429.02280000271,1328.0,0.03554475359615225,0.0,8300,10000,10000,59000,59000,59000,59000,59000,59000,59000,59000
GET,GET /api/courses/subjects,2,0,8300.0,8313.915300008375,8284.947499982081,8342.883100034669,695.0,0.0142179014384609,0.0,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300
GET,GET /api/exams,18,1,5200.0,8814.845672223277,2538.817999942694,60824.5141999796,88662.66666666667,0.1279611129461481,0.00710895071923045,5500,7200,8500,8600,11000,61000,61000,61000,61000,61000,61000
GET,GET /api/exams (reschedule setup),6,0,3400.0,5714.26480000567,2100.6926999543793,11018.217300006654,93869.0,0.0426537043153827,0.0,6800,6800,8800,8800,11000,11000,11000,11000,11000,11000,11000
GET,GET /api/exams/<date>,7,0,3800.0,5047.798900000219,3084.8583999904804,8220.105200016405,6954.428571428572,0.04976265503461315,0.0,3800,6000,7000,7000,8200,8200,8200,8200,8200,8200,8200
GET,GET /api/exams/days_with_exams,8,0,6300.0,6652.596449981502,2294.449499982875,11141.114600002766,197.0,0.0568716057538436,0.0,7300,8400,10000,10000,11000,11000,11000,11000,11000,11000,11000
GET,GET /api/exams/need_rescheduling,14,0,3600.0,8012.29132856575,2179.2049999930896,57050.04010000266,3.0,0.0995253100692263,0.0,3600,4100,4300,7000,11000,57000,57000,57000,57000,57000,57000
GET,GET /api/users,2,0,3000.0,3791.7598999629263,2959.947299968917,4623.572499956936,91.0,0.0142179014384609,0.0,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600
GET,GET /api/venues,7,0,4400.0,4110.54091429105,546.3119999621995,8529.472000023816,628.0,0.04976265503461315,0.0,4400,4400,4400,4400,8500,8500,8500,8500,8500,8500,8500
GET,GET /api/venues/<name>,6,0,4000.0,22552.977233339334,3112.453000037931,59513.42290005414,58.333333333333336,0.0426537043153827,0.0,10000,10000,55000,55000,60000,60000,60000,60000,60000,60000,60000
PATCH,PATCH /api/exams/reschedule,5,0,3800.0,5530.70272001205,1555.9454000322148,14175.26440002257,163.8,0.03554475359615225,0.0,3800,4700,4700,14000,14000,14000,14000,14000,14000,14000,14000
POST,POST /api/auth/login,10,0,9000.0,9282.079150003847,2915.117399999872,15214.610800030641,406.0,0.0710895071923045,0.0,11000,11000,13000,14000,15000,15000,15000,15000,15000,15000,15000
POST,POST /api/upload (enrollments csv),1,0,56756.568200013135,56756.568200013135,56756.568200013135,56756.568200013135,110.0,0.00710895071923045,0.0,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000
POST,POST /api/upload (students csv),1,0,1799.380399985239,1799.380399985239,1799.380399985239,1799.380399985239,101.0,0.00710895071923045,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
POST,POST /api/upload (venues csv),2,0,4032.9991999897175,4215.016350004589,4032.9991999897175,4397.033500019461,92.0,0.0142179014384609,0.0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
,Aggregated,130,1,4800.0,9913.746319230324,546.3119999621995,60824.5141999796,22417.7,0.9241635934999585,0.00710895071923045,4800,7300,8600,10000,14000,59000,60000,60000,61000,61000,61000
